id,recipe_name,cuisine_type,ingredients,cooking_instructions,dietary_preferences,difficulty
48,Paleo Banana Pancakes,American,"Bananas, Eggs, Almond flour, Cinnamon, Vanilla extract","1. Mash bananas. 2. Mix with eggs, almond flour, cinnamon, and vanilla. 3. Cook spoonfuls on a griddle. 4. Flip when bubbles form. 5. Serve with fresh berries.",Paleo,Easy
49,Tom Kha Gai,Thai,"Chicken, Coconut milk, Lemongrass, Kaffir lime leaves, Galangal, Mushrooms, Fish sauce, Lime juice","1. Simmer coconut milk with lemongrass, lime leaves, and galangal. 2. Add chicken and mushrooms. 3. Season with fish sauce and lime juice. 4. Serve hot.",None,Medium
50,Churros,Spanish,"Flour, Water, Salt, Oil for frying, Sugar, Cinnamon, Chocolate (for dipping)","1. Boil water with salt. 2. Add flour to make choux pastry. 3. Pipe into hot oil. 4. Fry until golden. 5. Roll in cinnamon-sugar. 6. Serve with chocolate sauce.",Vegetarian,Medium
51,Beef Wellington,British,"Beef tenderloin, Puff pastry, Mushroom duxelles, Prosciutto, Dijon mustard","1. Sear beef. 2. Spread with mustard. 3. Wrap in mushroom duxelles and prosciutto. 4. Encase in puff pastry. 5. Bake until golden and beef is cooked to desired doneness.",None,Hard
52,Vegetarian Sushi Rolls,Japanese,"Sushi rice, Nori sheets, Avocado, Cucumber, Carrots, Rice vinegar, Wasabi, Soy sauce","1. Prepare sushi rice. 2. Lay nori on bamboo mat. 3. Spread rice, add vegetable strips. 4. Roll tightly. 5. Slice and serve with wasabi and soy sauce.",Vegetarian,Medium
53,Chicken Pot Pie,American,"Chicken, Carrots, Peas, Onions, Celery, Flour, Chicken broth, Pie crust","1. Cook chicken and vegetables. 2. Make roux, add broth for sauce. 3. Combine with chicken and veggies. 4. Pour into pie crust. 5. Top with second crust. 6. Bake until golden.",None,Medium
54,Shrimp and Grits,Southern American,"Shrimp, Grits, Bacon, Cheddar cheese, Garlic, Lemon, Green onions","1. Cook grits with cheese. 2. Sauté bacon. 3. Cook shrimp with garlic and lemon. 4. Serve shrimp over cheesy grits. 5. Garnish with green onions.",None,Medium
55,Vegetable Biryani,Indian,"Basmati rice, Mixed vegetables, Yogurt, Biryani spices, Fried onions, Saffron","1. Parboil rice. 2. Cook vegetables with spices. 3. Layer rice and vegetables. 4. Add saffron milk. 5. Steam until rice is fully cooked. 6. Garnish with fried onions.",Vegetarian,Medium
56,Lobster Bisque,French,"Lobster, Shrimp stock, Heavy cream, Tomato paste, Brandy, Herbs, Butter","1. Sauté lobster shells. 2. Add brandy and flambé. 3. Add stock and simmer. 4. Strain and add cream. 5. Finish with lobster meat and herbs.",None,Hard
57,Feijoada,Brazilian,"Black beans, Pork (various cuts), Beef, Sausage, Orange, Bay leaves, Rice","1. Soak beans overnight. 2. Cook beans with meats and bay leaves. 3. Simmer until meat is tender and beans are creamy. 4. Serve with rice and orange slices.",None,Hard
58,Palak Paneer,Indian,"Spinach, Paneer cheese, Onions, Tomatoes, Garam masala, Cream","1. Blanch and puree spinach. 2. Sauté onions and tomatoes. 3. Add spinach and spices. 4. Simmer with paneer cubes. 5. Finish with cream.",Vegetarian,Medium
59,Bouillabaisse,French,"Various fish, Shellfish, Fennel, Tomatoes, Saffron, Orange zest, Garlic, Herbs","1. Make fish stock. 2. Sauté vegetables. 3. Add stock, saffron, and orange zest. 4. Add fish and shellfish. 5. Simmer briefly. 6. Serve with rouille and bread.",None,Hard
60,Lemon Meringue Pie,American,"Pie crust, Lemon juice, Sugar, Cornstarch, Egg yolks, Egg whites","1. Blind bake pie crust. 2. Cook lemon filling. 3. Pour into crust. 4. Make meringue with egg whites and sugar. 5. Top pie with meringue. 6. Bake until golden.",Vegetarian,Medium
61,Gallo Pinto,Costa Rican,"Rice, Black beans, Onions, Bell peppers, Cilantro, Salsa Lizano","1. Cook rice and beans separately. 2. Sauté onions and peppers. 3. Mix rice, beans, and vegetables. 4. Season with Salsa Lizano. 5. Garnish with cilantro.",Vegan,Easy
62,Gluten-Free Quinoa Tabbouleh,Middle Eastern,"Quinoa, Parsley, Mint, Tomatoes, Cucumber, Lemon juice, Olive oil","1. Cook quinoa and cool. 2. Finely chop herbs and vegetables. 3. Mix all ingredients. 4. Season with lemon juice and olive oil. 5. Chill before serving.",Gluten-free|Vegan,Easy
63,Thanksgiving Turkey,American,"Whole turkey, Butter, Herbs, Salt, Pepper, Onions, Celery, Carrots","1. Brine turkey overnight. 2. Stuff with herbs and vegetables. 3. Rub with butter and seasonings. 4. Roast, basting regularly. 5. Rest before carving.",None,Hard
64,Jollof Rice,Nigerian,"Rice, Tomatoes, Onions, Bell peppers, Scotch bonnet peppers, Spices, Vegetable oil","1. Blend tomatoes, onions, and peppers. 2. Fry blended mixture with spices. 3. Add rice and water. 4. Simmer until rice is cooked and absorbs all liquid.",Vegan,Medium
65,Pho Chay (Vegetarian Pho),Vietnamese,"Rice noodles, Vegetable broth, Tofu, Bean sprouts, Basil, Lime, Cinnamon, Star anise","1. Simmer broth with spices. 2. Cook rice noodles. 3. Prepare tofu. 4. Assemble bowls with noodles and tofu. 5. Pour hot broth over. 6. Serve with bean sprouts, basil, and lime.",Vegetarian,Medium
66,Dairy-Free Coconut Ice Cream,Thai-inspired,"Coconut milk, Sugar, Vanilla extract, Salt","1. Mix coconut milk, sugar, vanilla, and salt. 2. Chill mixture. 3. Churn in ice cream maker. 4. Freeze until firm.",Dairy-free|Vegan,Easy
67,Low-Sodium Chicken Stir-Fry,Chinese-inspired,"Chicken breast, Mixed vegetables, Garlic, Ginger, Low-sodium soy sauce, Sesame oil","1. Slice chicken and vegetables. 2. Stir-fry chicken. 3. Add vegetables, garlic, and ginger. 4. Season with low-sodium soy sauce and sesame oil.",Low-sodium,Easy
68,Oktoberfest Pretzel,German,"Flour, Yeast, Salt, Brown sugar, Baking soda, Coarse salt","1. Make dough and let rise. 2. Shape into pretzels. 3. Boil in water with baking soda. 4. Sprinkle with coarse salt. 5. Bake until golden brown.",Vegetarian,Medium
69,Rosh Hashanah Honey Cake,Jewish,"Flour, Honey, Coffee, Oil, Eggs, Cinnamon, Cloves, Allspice","1. Mix wet ingredients. 2. Combine dry ingredients. 3. Mix wet and dry ingredients. 4. Pour into cake pan. 5. Bake until a toothpick comes out clean.",None,Medium
70,Vegetarian Haggis,Scottish,"Oats, Lentils, Nuts, Vegetables, Vegetable stock, Spices","1. Cook lentils. 2. Sauté vegetables and nuts. 3. Mix with oats and spices. 4. Add stock and simmer. 5. Bake in oven until firm.",Vegetarian,Medium
71,Watermelon Feta Salad,Mediterranean,"Watermelon, Feta cheese, Mint, Red onion, Olive oil, Balsamic vinegar","1. Cube watermelon. 2. Thinly slice red onion. 3. Crumble feta. 4. Mix all ingredients. 5. Dress with olive oil and balsamic. 6. Garnish with mint.",Vegetarian,Easy
72,Mardi Gras King Cake,New Orleans,"Flour, Yeast, Sugar, Cinnamon, Butter, Cream cheese, Colored sugar","1. Make sweet dough and let rise. 2. Roll out and fill with cinnamon-sugar. 3. Shape into a ring. 4. Bake until golden. 5. Top with cream cheese frosting and colored sugar.",None,Hard
73,Vegan Borscht,Ukrainian,"Beets, Cabbage, Potatoes, Carrots, Onions, Vegetable broth, Dill","1. Sauté vegetables. 2. Add broth and simmer until vegetables are tender. 3. Blend half the soup. 4. Combine with unblended half. 5. Serve with fresh dill.",Vegan,Medium
74,Gluten-Free Pad Thai,Thai,"Rice noodles, Tofu, Eggs, Bean sprouts, Peanuts, Tamarind paste, Fish sauce, Palm sugar","1. Soak rice noodles. 2. Stir-fry tofu and eggs. 3. Add noodles and sauce. 4. Toss with bean sprouts and peanuts. 5. Serve with lime wedges.",Gluten-free,Medium
75,Ramadan Dates Smoothie,Middle Eastern,"Dates, Milk, Banana, Yogurt, Honey, Cinnamon","1. Soak dates in warm milk. 2. Blend dates and milk with other ingredients. 3. Pour into glasses. 4. Sprinkle with cinnamon.",Vegetarian,Easy
76,Easter Hot Cross Buns,British,"Flour, Yeast, Milk, Butter, Eggs, Mixed spices, Dried fruit, Sugar","1. Make dough with fruit and spices. 2. Let rise. 3. Shape into buns. 4. Pipe crosses on top. 5. Bake until golden. 6. Glaze with sugar syrup.",None,Medium
77,Fourth of July Berry Trifle,American,"Pound cake, Strawberries, Blueberries, Whipped cream, Vanilla pudding","1. Cube pound cake. 2. Layer cake, berries, pudding, and cream in a clear bowl. 3. Repeat layers. 4. Top with whipped cream and arrange berries in flag pattern.",None,Easy
78,Diwali Chivda (Savory Snack Mix),Indian,"Flattened rice, Peanuts, Curry leaves, Mustard seeds, Turmeric, Dried fruits","1. Fry flattened rice until crisp. 2. Fry peanuts and spices. 3. Mix with fried rice. 4. Add dried fruits. 5. Season with salt and sugar.",Vegan,Medium
79,Chinese New Year Dumplings,Chinese,"Ground pork, Shrimp, Napa cabbage, Ginger, Garlic, Dumpling wrappers","1. Mix filling ingredients. 2. Place filling in wrappers. 3. Fold and pleat to seal. 4. Steam or pan-fry. 5. Serve with dipping sauce.",None,Medium
80,Cinco de Mayo Guacamole,Mexican,"Avocados, Tomatoes, Onions, Cilantro, Lime juice, Jalapeño","1. Mash avocados. 2. Dice tomatoes, onions, and jalapeño. 3. Mix all ingredients. 4. Season with lime juice and salt. 5. Serve with tortilla chips.",Vegan,Easy
81,Pap and Chakalaka,South African,"Cornmeal, Water, Salt, Canned tomatoes, Onions, Bell peppers, Carrots, Beans, Curry powder","1. Cook cornmeal into a thick porridge (pap). 2. Sauté vegetables for chakalaka. 3. Add tomatoes, beans, and spices. 4. Simmer chakalaka until thickened. 5. Serve pap with chakalaka on top.",Vegan,Medium
82,Loco Moco,Hawaiian,"Rice, Ground beef, Eggs, Gravy, Green onions","1. Cook rice. 2. Form beef into patties and cook. 3. Fry eggs. 4. Make gravy. 5. Assemble: rice, patty, egg, gravy. 6. Garnish with green onions.",None,Medium
83,FODMAP-Friendly Chicken Soup,International,"Chicken, Carrots, Parsnips, Zucchini, Herbs, Low-FODMAP broth","1. Make broth with chicken and allowed vegetables. 2. Shred chicken. 3. Cut vegetables into small pieces. 4. Combine chicken, vegetables, and broth. 5. Simmer until vegetables are tender.",Low-FODMAP,Easy
84,Sous Vide Steak,French Technique,"Ribeye steak, Butter, Garlic, Rosemary, Salt, Pepper","1. Season steak. 2. Vacuum seal with butter and herbs. 3. Cook in sous vide bath at 129°F for 1-2 hours. 4. Sear in hot pan to finish.",None,Medium
85,Vegan Sushi Burrito,Fusion,"Nori sheets, Sushi rice, Avocado, Cucumber, Carrots, Tofu, Vegan mayo, Soy sauce","1. Prepare sushi rice. 2. Lay out large nori sheet. 3. Spread rice and add fillings. 4. Roll tightly like a burrito. 5. Slice in half and serve with soy sauce.",Vegan,Medium
86,Keto Cauliflower Pizza,Italian-Inspired,"Cauliflower, Eggs, Cheese, Almond flour, Tomato sauce, Mozzarella, Basil","1. Rice cauliflower and squeeze out moisture. 2. Mix with eggs, cheese, and almond flour for crust. 3. Bake crust. 4. Top with sauce and cheese. 5. Bake again until cheese melts.",Keto|Gluten-free,Medium
87,Jackfruit 'Pulled Pork' Sandwiches,American-Inspired,"Jackfruit, BBQ sauce, Onions, Burger buns, Coleslaw","1. Shred jackfruit. 2. Sauté with onions and BBQ sauce. 3. Simmer until tender. 4. Serve on buns with coleslaw.",Vegan,Easy
88,Shakshuka Benedict,Fusion,"Eggs, Tomatoes, Bell peppers, Onions, Cumin, Paprika, English muffins, Hollandaise sauce","1. Make shakshuka base. 2. Poach eggs in sauce. 3. Toast English muffins. 4. Assemble: muffin, shakshuka, egg, hollandaise.",Vegetarian,Medium
89,High-Protein Overnight Oats,International,"Oats, Greek yogurt, Protein powder, Chia seeds, Berries, Honey","1. Mix oats, yogurt, protein powder, and chia seeds. 2. Add a little milk if needed. 3. Refrigerate overnight. 4. Top with berries and honey before serving.",Vegetarian|High-protein,Easy
90,Molecular Gastronomy Fruit Caviar,Modern Cuisine,"Fruit juice, Sodium alginate, Calcium lactate, Water","1. Mix juice with sodium alginate. 2. Prepare calcium lactate bath. 3. Drop juice mixture into bath to form caviar. 4. Rinse caviar in clean water.",Vegan,Hard
91,Caribbean Jerk Chicken Bowl,Jamaican-Inspired,"Chicken, Jerk seasoning, Rice, Beans, Plantains, Mango salsa","1. Marinate chicken in jerk seasoning. 2. Grill chicken. 3. Cook rice and beans. 4. Fry plantains. 5. Make mango salsa. 6. Assemble bowl.",None,Medium
92,Bahn Mi Tacos,Fusion,"Pork belly, Daikon, Carrots, Cilantro, Jalapeños, Mayonnaise, Corn tortillas","1. Cook pork belly until crispy. 2. Pickle daikon and carrots. 3. Warm tortillas. 4. Assemble tacos with all ingredients.",None,Medium
93,Instant Pot Beef Pho,Vietnamese,"Beef bones, Rice noodles, Beef slices, Spices, Bean sprouts, Herbs","1. Pressure cook bones and spices for broth. 2. Cook rice noodles. 3. Assemble bowls with noodles and raw beef slices. 4. Pour hot broth over. 5. Serve with herbs and bean sprouts.",None,Medium
94,Mafe (Peanut Stew),Senegalese,"Lamb, Peanut butter, Tomatoes, Potatoes, Carrots, Onions, Spices","1. Brown lamb. 2. Add vegetables and spices. 3. Stir in peanut butter and tomatoes. 4. Simmer until meat is tender and stew is thick.",None,Medium
95,Ceviche Tostadas,Mexican,"White fish, Lime juice, Tomatoes, Onions, Cilantro, Avocado, Tostadas","1. Cure fish in lime juice. 2. Mix with chopped vegetables. 3. Serve on tostadas with sliced avocado.",None,Easy
96,Kimchi Grilled Cheese,Fusion,"Sourdough bread, Cheddar cheese, Kimchi, Butter","1. Butter bread slices. 2. Layer cheese and kimchi between bread. 3. Grill in pan until cheese melts and bread is golden.",None,Easy
97,Ghanaian Red Red,Ghanaian,"Black-eyed peas, Palm oil, Plantains, Tomatoes, Onions, Ginger, Chili","1. Cook black-eyed peas. 2. Fry plantains. 3. Make tomato stew with palm oil. 4. Combine peas with stew. 5. Serve with fried plantains.",Vegan,Medium
98,Kangaroo Steak with Quandong Sauce,Australian,"Kangaroo fillet, Quandong (native peach), Red wine, Thyme, Butter","1. Marinate kangaroo in herbs. 2. Grill kangaroo. 3. Make sauce with quandongs and red wine. 4. Serve steak with sauce.",None,Medium
99,Breakfast Congee,Chinese,"Rice, Chicken stock, Ginger, Shredded chicken, Century egg, Green onions","1. Cook rice in excess chicken stock until porridge-like. 2. Add ginger and chicken. 3. Serve topped with sliced century egg and green onions.",None,Easy
100,Moroccan Tagine with Preserved Lemon,Moroccan,"Lamb, Preserved lemon, Olives, Saffron, Onions, Garlic, Couscous","1. Brown lamb. 2. Add onions, garlic, and spices. 3. Simmer with preserved lemon and olives. 4. Serve over couscous.",None,Medium